Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Ti (at.%),composition,Au (at.%)
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,630.0,630.0,47.4,Ti47.4Au52.6 %,52.6
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,615.0,620.0,50.0,Ti50.0Au50.0 %,50.0
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,560.0,605.0,52.6,Ti52.6Au47.4 %,47.4
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,535.0,575.0,55.0,Ti55.0Au45.0 %,45.0
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,390.0,290.0,57.5,Ti57.5Au42.5 %,42.5
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,618.0,610.0,47.0,Ti47.0Au53.0 %,53.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,611.0,602.0,49.0,Ti49.0Au51.0 %,51.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,618.0,608.0,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,587.0,574.0,51.0,Ti51.0Au49.0 %,49.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,490.0,526.0,54.0,Ti54.0Au46.0 %,46.0
